id_apto,cc_postulado,fecha,ocupacion,interes,estado
7702274,1013394375,2023-02-16,Docente,Habitación,pendiente
7254613,1581053018,2022-11-16,Colaborador,Habitación,pendiente
7932866,1433697775,2022-12-25,Docente,Habitación,pendiente
7632739,1652611296,2022-11-03,Colaborador,Habitación,pendiente
7965318,1119803130,2022-12-18,Estudiante,Apartamento completo,pendiente
7962381,1681762278,2022-11-06,Colaborador,Apartamento completo,pendiente
6977347,1524086669,2023-03-13,Otra,Habitación,pendiente
7913209,1086708841,2023-03-01,Estudiante,Apartamento completo,pendiente
7960459,1606251287,2023-02-07,Estudiante,Habitación,pendiente
7800080,1838376215,2023-02-08,Estudiante,Habitación,pendiente
7943276,1407201398,2022-12-12,Docente,Habitación,pendiente
7886089,1517333477,2023-02-20,Otra,Apartamento completo,pendiente
7850348,1714541720,2023-03-12,Docente,Habitación,pendiente
7966762,1554774692,2022-11-08,Colaborador,Habitación,pendiente
7928514,1682092584,2022-11-29,Estudiante,Habitación,pendiente
7021925,1377043695,2023-01-20,Otra,Habitación,pendiente
7936162,1784765257,2023-01-14,Colaborador,Habitación,pendiente
6977665,1411649851,2022-12-10,Docente,Apartamento completo,pendiente
7848995,1821467585,2023-01-27,Otra,Habitación,pendiente
7953954,1645005348,2023-01-16,Estudiante,Apartamento completo,pendiente
7851707,1148842323,2023-02-18,Colaborador,Apartamento completo,pendiente
7969529,1209595950,2022-11-02,Estudiante,Apartamento completo,pendiente
7966511,1544667091,2022-12-14,Docente,Habitación,pendiente
7788467,1174871599,2022-11-01,Docente,Apartamento completo,pendiente
5713019,1077796205,2022-11-30,Colaborador,Habitación,pendiente
7777314,1454722765,2022-12-31,Otra,Apartamento completo,pendiente
7123506,1195560871,2023-01-26,Colaborador,Apartamento completo,pendiente
7962566,1650566627,2022-12-27,Docente,Apartamento completo,pendiente
7698090,1140757762,2022-11-04,Colaborador,Apartamento completo,pendiente
7966273,1450914068,2022-12-09,Colaborador,Habitación,pendiente
7968756,1418059242,2023-02-01,Colaborador,Apartamento completo,pendiente
7962770,1198992913,2022-12-29,Docente,Habitación,pendiente
7932402,1806927643,2023-02-02,Otra,Habitación,pendiente
4678411,1585425243,2023-02-28,Otra,Habitación,pendiente
7956476,1819554585,2023-01-11,Otra,Habitación,pendiente
7266631,1568329932,2022-11-08,Docente,Habitación,pendiente
6940389,1757475510,2023-03-05,Colaborador,Apartamento completo,pendiente
7791895,1982904048,2022-12-06,Estudiante,Habitación,pendiente
7955747,1778866529,2022-11-04,Otra,Habitación,pendiente
7923802,1840329604,2023-01-18,Estudiante,Apartamento completo,pendiente
7944439,1465520878,2023-01-28,Otra,Habitación,pendiente
7741588,1574923253,2023-02-03,Docente,Habitación,pendiente
7962780,1006322439,2022-12-26,Otra,Apartamento completo,pendiente
7955333,1348677854,2023-01-29,Docente,Habitación,pendiente
7675963,1780200434,2023-01-02,Colaborador,Apartamento completo,pendiente
7973471,1331823649,2022-12-22,Colaborador,Habitación,pendiente
7946624,1308862357,2022-11-25,Estudiante,Habitación,pendiente
7974528,1363706961,2022-11-16,Otra,Apartamento completo,pendiente
7974528,1984933062,2022-12-03,Docente,Apartamento completo,pendiente
7022373,1956286291,2022-11-16,Docente,Apartamento completo,pendiente
7776540,1423685408,2023-01-26,Docente,Apartamento completo,pendiente
7124999,1577948343,2022-12-23,Estudiante,Apartamento completo,pendiente
7959691,1348251044,2023-01-25,Otra,Apartamento completo,pendiente
7572838,1657350381,2023-02-27,Colaborador,Apartamento completo,pendiente
7968687,1025251604,2023-02-11,Docente,Habitación,pendiente
7939959,1660269104,2023-01-21,Docente,Habitación,pendiente
7956393,1843077945,2022-12-22,Estudiante,Habitación,pendiente
6885945,1053620288,2023-02-08,Estudiante,Habitación,pendiente
7948454,1001902923,2023-01-30,Colaborador,Habitación,pendiente
7869627,1929698460,2023-03-02,Otra,Apartamento completo,pendiente
7741676,1214350804,2022-11-18,Estudiante,Habitación,pendiente
7912030,1780341644,2023-01-04,Estudiante,Apartamento completo,pendiente
10035476,1641297114,2023-02-04,Docente,Habitación,pendiente
7965987,1629235813,2023-02-19,Colaborador,Apartamento completo,pendiente
7951872,1439698599,2022-12-17,Otra,Habitación,pendiente
7942977,1612574113,2022-12-13,Otra,Habitación,pendiente
7651903,1307218818,2022-12-26,Estudiante,Habitación,pendiente
7962571,1567668162,2023-01-29,Docente,Apartamento completo,pendiente
6024251,1294457986,2023-03-07,Otra,Apartamento completo,pendiente
7965969,1088435301,2023-03-10,Colaborador,Habitación,pendiente
7947502,1480950022,2022-12-16,Colaborador,Habitación,pendiente
7883023,1440083208,2022-11-26,Colaborador,Habitación,pendiente
7556867,1102670653,2022-11-01,Estudiante,Habitación,pendiente
7689670,1170887286,2023-02-06,Otra,Apartamento completo,pendiente
7365576,1668764855,2023-03-11,Estudiante,Habitación,pendiente
7948454,1665796749,2023-02-13,Colaborador,Habitación,pendiente
7947154,1206947825,2022-11-10,Colaborador,Apartamento completo,pendiente
7948739,1855721848,2022-12-16,Docente,Apartamento completo,pendiente
7812728,1879334068,2023-02-11,Estudiante,Habitación,pendiente
7864655,1786998214,2023-02-10,Estudiante,Habitación,pendiente
7942360,1314648675,2022-12-19,Estudiante,Apartamento completo,pendiente
7955490,1165397871,2022-12-30,Estudiante,Apartamento completo,pendiente
7585696,1415552841,2022-11-01,Estudiante,Habitación,pendiente
6908409,1055076286,2022-11-19,Estudiante,Apartamento completo,pendiente
7382351,1289924036,2023-02-17,Estudiante,Habitación,pendiente
7890956,1915864079,2022-12-17,Docente,Apartamento completo,pendiente
7243392,1169592385,2023-02-27,Docente,Habitación,pendiente
7621197,1060315277,2022-11-24,Otra,Habitación,pendiente
7958103,1919796895,2023-02-19,Otra,Habitación,pendiente
7869162,1340275968,2023-01-11,Otra,Apartamento completo,pendiente
7936297,1424096178,2023-02-20,Docente,Apartamento completo,pendiente
7843795,1260269766,2023-01-06,Estudiante,Apartamento completo,pendiente
7951192,1187336668,2023-01-16,Estudiante,Apartamento completo,pendiente
7960493,1098087018,2023-03-15,Otra,Apartamento completo,pendiente
7952007,1982471265,2022-12-14,Colaborador,Habitación,pendiente
7966113,1232725749,2022-12-13,Otra,Habitación,pendiente
7972541,1862942636,2023-02-18,Otra,Apartamento completo,pendiente
7888585,1529427560,2023-02-25,Estudiante,Habitación,pendiente
7913996,1620555802,2022-11-23,Docente,Habitación,pendiente
6558607,1130343808,2023-02-22,Docente,Habitación,pendiente
6683249,1096128618,2022-12-10,Otra,Habitación,pendiente
7972580,1273735679,2023-02-07,Docente,Apartamento completo,pendiente
7938073,1433858348,2022-12-28,Docente,Apartamento completo,pendiente
7924803,1073349949,2023-03-01,Estudiante,Apartamento completo,pendiente
7959408,1365421933,2023-01-15,Estudiante,Habitación,pendiente
10019413,1472015382,2022-12-02,Colaborador,Habitación,pendiente
7918343,1528040098,2023-01-21,Docente,Habitación,pendiente
7958425,1715967571,2023-01-01,Estudiante,Habitación,pendiente
7852276,1127609613,2022-11-06,Estudiante,Habitación,pendiente
7958891,1634792137,2023-02-14,Otra,Habitación,pendiente
7087985,1783796530,2022-12-18,Docente,Apartamento completo,pendiente
10033406,1825078525,2023-03-07,Colaborador,Habitación,pendiente
7959833,1324034149,2023-02-26,Docente,Habitación,pendiente
7754013,1874912982,2023-02-05,Docente,Habitación,pendiente
10019413,1969897071,2023-03-04,Colaborador,Habitación,pendiente
7707295,1864451987,2023-01-08,Estudiante,Habitación,pendiente
7969643,1201533879,2023-01-16,Otra,Apartamento completo,pendiente
7965858,1597281554,2022-12-20,Colaborador,Habitación,pendiente
7117988,1751478732,2022-12-03,Estudiante,Apartamento completo,pendiente
7969643,1195461333,2023-01-14,Docente,Apartamento completo,pendiente
7492869,1809290297,2023-01-23,Otra,Habitación,pendiente
7950778,1320108992,2022-11-11,Estudiante,Apartamento completo,pendiente
7932182,1782162075,2022-12-16,Estudiante,Apartamento completo,pendiente
7966182,1113616435,2023-03-09,Estudiante,Apartamento completo,pendiente
7961727,1078909794,2022-12-19,Docente,Habitación,pendiente
7974549,1240224958,2022-11-05,Otra,Apartamento completo,pendiente
7741588,1812943553,2023-01-19,Colaborador,Apartamento completo,pendiente
7242760,1727051142,2023-01-01,Otra,Apartamento completo,pendiente
7961677,1417832555,2022-12-28,Docente,Habitación,pendiente
7836858,1617113022,2023-02-16,Docente,Apartamento completo,pendiente
7945513,1169778809,2023-02-02,Docente,Habitación,pendiente
7675963,1511815600,2022-11-24,Docente,Habitación,pendiente
7960754,1928908298,2023-02-23,Colaborador,Habitación,pendiente
7930870,1586525014,2022-12-05,Colaborador,Habitación,pendiente
7885051,1611239315,2022-12-20,Otra,Habitación,pendiente
7946826,1228988693,2023-02-20,Docente,Apartamento completo,pendiente
7965733,1888577603,2022-12-10,Colaborador,Apartamento completo,pendiente
7938791,1547198192,2023-01-15,Otra,Habitación,pendiente
7916815,1878732236,2023-01-11,Docente,Apartamento completo,pendiente
7698014,1670856195,2023-02-10,Docente,Habitación,pendiente
7352557,1603964032,2022-12-21,Colaborador,Apartamento completo,pendiente
7792128,1587027174,2022-12-16,Docente,Habitación,pendiente
7936162,1955598710,2022-12-02,Otra,Habitación,pendiente
7331886,1844247622,2023-03-07,Estudiante,Habitación,pendiente
7889240,1533109285,2023-01-15,Docente,Habitación,pendiente
7579305,1247191968,2022-11-05,Otra,Apartamento completo,pendiente
7961574,1110210682,2022-11-05,Otra,Apartamento completo,pendiente
7896339,1269001306,2023-01-26,Otra,Habitación,pendiente
7910114,1283930304,2023-03-05,Otra,Apartamento completo,pendiente
7965987,1284595544,2022-12-16,Colaborador,Apartamento completo,pendiente
7972945,1877526565,2022-11-16,Estudiante,Habitación,pendiente
7728992,1608300394,2023-02-17,Estudiante,Habitación,pendiente
7974549,1322413806,2022-11-10,Estudiante,Habitación,pendiente
7961920,1095867952,2022-11-17,Docente,Habitación,pendiente
7831439,1712739538,2023-01-17,Colaborador,Habitación,pendiente
7883741,1379569034,2023-02-27,Otra,Habitación,pendiente
7702274,1884693699,2023-02-07,Otra,Apartamento completo,pendiente
6841831,1255536893,2022-12-15,Otra,Apartamento completo,pendiente
7942859,1639579956,2023-03-08,Docente,Habitación,pendiente
7949569,1460058067,2023-02-12,Colaborador,Habitación,pendiente
7864639,1521525529,2023-01-29,Estudiante,Habitación,pendiente
7224827,1116646068,2023-01-25,Colaborador,Habitación,pendiente
5862466,1127476690,2023-02-16,Colaborador,Apartamento completo,pendiente
7831439,1547175514,2023-02-14,Otra,Apartamento completo,pendiente
7959316,1017468505,2022-11-11,Colaborador,Habitación,pendiente
7954106,1793759273,2022-12-26,Docente,Apartamento completo,pendiente
7970729,1838314852,2023-02-14,Otra,Habitación,pendiente
10035476,1257708902,2023-02-02,Colaborador,Habitación,pendiente
7954692,1646764712,2023-01-16,Otra,Apartamento completo,pendiente
7928514,1817855744,2022-11-10,Colaborador,Apartamento completo,pendiente
7865032,1903678563,2022-11-23,Docente,Apartamento completo,pendiente
7952007,1868086308,2023-01-07,Colaborador,Habitación,pendiente
7889240,1916119071,2023-02-13,Colaborador,Apartamento completo,pendiente
7909449,1660349379,2022-12-12,Estudiante,Habitación,pendiente
7861041,1709166707,2023-01-26,Estudiante,Habitación,pendiente
7064632,1669766043,2022-12-07,Colaborador,Apartamento completo,pendiente
7930165,1051651829,2023-02-26,Docente,Habitación,pendiente
7968416,1557510923,2023-02-15,Otra,Habitación,pendiente
7962513,1797506543,2023-01-15,Colaborador,Apartamento completo,pendiente
7932620,1783175371,2023-03-07,Colaborador,Habitación,pendiente
7955490,1382070110,2022-11-19,Docente,Apartamento completo,pendiente
7968068,1928613970,2023-02-21,Estudiante,Habitación,pendiente
7792128,1341432859,2023-01-29,Estudiante,Apartamento completo,pendiente
7931399,1873531766,2022-12-07,Docente,Apartamento completo,pendiente
7928514,1626992182,2023-01-20,Docente,Habitación,pendiente
7921227,1218840848,2022-11-17,Estudiante,Apartamento completo,pendiente
7556867,1999860493,2023-01-23,Otra,Apartamento completo,pendiente
7963428,1912409610,2023-03-05,Docente,Habitación,pendiente
7938463,1978769661,2022-11-12,Otra,Habitación,pendiente
6558056,1887482901,2022-12-09,Otra,Habitación,pendiente
7694431,1895062997,2023-02-08,Otra,Habitación,pendiente
7966164,1788079090,2022-11-04,Otra,Apartamento completo,pendiente
7967973,1471649294,2022-12-18,Estudiante,Habitación,pendiente
7117988,1586681797,2023-02-04,Docente,Apartamento completo,pendiente
6337443,1551858917,2023-01-06,Otra,Habitación,pendiente
7908420,1773844771,2023-01-01,Colaborador,Apartamento completo,pendiente
7974528,1481110389,2022-12-01,Docente,Habitación,pendiente
7821841,1605022796,2023-01-24,Otra,Habitación,pendiente
7022049,1920015032,2022-12-29,Docente,Habitación,pendiente
7962566,1414707322,2022-12-07,Estudiante,Habitación,pendiente
7080318,1072954202,2023-01-26,Colaborador,Apartamento completo,pendiente
7966821,1895208110,2023-02-11,Docente,Apartamento completo,pendiente
7932718,1009815261,2023-02-05,Docente,Apartamento completo,pendiente
7803146,1169697827,2022-12-31,Colaborador,Habitación,pendiente
7854425,1187282783,2023-01-11,Otra,Apartamento completo,pendiente
10038696,1434353052,2023-02-05,Docente,Habitación,pendiente
7970874,1260608229,2022-12-14,Otra,Apartamento completo,pendiente
7566737,1171165098,2023-01-08,Colaborador,Habitación,pendiente
7961348,1557364967,2023-01-13,Colaborador,Habitación,pendiente
7941556,1040577629,2023-01-27,Docente,Habitación,pendiente
7019783,1116868378,2023-02-13,Estudiante,Habitación,pendiente
7868722,1538068397,2023-02-25,Docente,Habitación,pendiente
7955378,1822421604,2022-11-15,Otra,Apartamento completo,pendiente
7865025,1085159503,2022-11-23,Docente,Apartamento completo,pendiente
10033597,1925184319,2023-02-08,Docente,Habitación,pendiente
7970479,1094588720,2023-02-28,Docente,Habitación,pendiente
7352557,1595380251,2022-11-17,Docente,Habitación,pendiente
7948173,1986770473,2022-12-31,Docente,Habitación,pendiente
7967973,1520287715,2022-12-13,Docente,Habitación,pendiente
7651903,1458284342,2023-02-27,Colaborador,Habitación,pendiente
7492943,1207729870,2022-12-19,Colaborador,Habitación,pendiente
7965794,1967366068,2023-02-27,Estudiante,Habitación,pendiente
7961618,1164622101,2022-11-01,Estudiante,Habitación,pendiente
7961935,1430680976,2022-11-27,Otra,Apartamento completo,pendiente
7918950,1173990488,2022-11-06,Estudiante,Habitación,pendiente
7492943,1058954209,2023-01-14,Estudiante,Apartamento completo,pendiente
7967657,1352460234,2022-12-18,Docente,Apartamento completo,pendiente
7934390,1575722234,2022-11-21,Estudiante,Apartamento completo,pendiente
7960493,1527785527,2022-11-08,Estudiante,Habitación,pendiente
7952698,1268595452,2023-01-26,Colaborador,Habitación,pendiente
7907818,1389977076,2023-01-10,Otra,Apartamento completo,pendiente
7931386,1022080677,2023-03-08,Estudiante,Apartamento completo,pendiente
7968329,1971214075,2023-01-22,Estudiante,Habitación,pendiente
7894704,1965770101,2023-01-16,Estudiante,Habitación,pendiente
7904822,1546301634,2023-02-08,Colaborador,Habitación,pendiente
7968212,1821877430,2022-12-11,Estudiante,Habitación,pendiente
7957760,1073581212,2022-12-17,Otra,Habitación,pendiente
7939113,1055009849,2022-12-16,Otra,Habitación,pendiente
7908420,1194466124,2022-12-08,Otra,Apartamento completo,pendiente
7974213,1483411626,2023-01-24,Colaborador,Apartamento completo,pendiente
7923210,1757075178,2023-01-13,Docente,Habitación,pendiente
7653862,1856107883,2023-02-24,Colaborador,Habitación,pendiente
6481718,1547923537,2023-03-06,Colaborador,Apartamento completo,pendiente
7972254,1663356188,2022-12-03,Docente,Apartamento completo,pendiente
7906191,1419761479,2023-02-14,Docente,Habitación,pendiente
7022520,1721334913,2023-01-30,Docente,Habitación,pendiente
7847460,1554731197,2023-02-15,Colaborador,Apartamento completo,pendiente
7272362,1992923328,2023-01-27,Otra,Apartamento completo,pendiente
7955206,1461328606,2023-01-20,Otra,Apartamento completo,pendiente
7896896,1139383651,2022-11-04,Colaborador,Apartamento completo,pendiente
7972945,1411237695,2022-12-13,Otra,Habitación,pendiente
7869358,1058627090,2023-02-14,Colaborador,Apartamento completo,pendiente
7967450,1776689125,2023-01-30,Otra,Apartamento completo,pendiente
7379275,1381199934,2023-02-05,Otra,Habitación,pendiente
7947608,1427275320,2022-11-14,Otra,Apartamento completo,pendiente
7901040,1141866864,2023-02-15,Estudiante,Apartamento completo,pendiente
7961935,1054369973,2022-11-01,Colaborador,Habitación,pendiente
6553384,1277404387,2022-11-14,Otra,Habitación,pendiente
6977251,1089186396,2023-01-29,Otra,Apartamento completo,pendiente
7939392,1685411833,2023-02-20,Otra,Habitación,pendiente
7885051,1906654442,2022-12-05,Otra,Habitación,pendiente
10033597,1993111604,2022-12-15,Colaborador,Apartamento completo,pendiente
7272362,1233712987,2022-11-12,Docente,Apartamento completo,pendiente
7961920,1377458143,2022-11-02,Colaborador,Apartamento completo,pendiente
7973683,1625712291,2022-11-25,Estudiante,Habitación,pendiente
7852276,1109082911,2023-03-12,Estudiante,Apartamento completo,pendiente
7953626,1802031139,2022-11-15,Otra,Apartamento completo,pendiente
7940297,1987267230,2023-03-09,Colaborador,Apartamento completo,pendiente
7968237,1816016607,2023-03-14,Colaborador,Apartamento completo,pendiente
7648593,1553254604,2022-11-08,Estudiante,Apartamento completo,pendiente
10035476,1253238499,2022-11-01,Colaborador,Apartamento completo,pendiente
7750415,1068426557,2023-02-16,Colaborador,Habitación,pendiente
6885945,1590339837,2023-02-01,Estudiante,Apartamento completo,pendiente
7947421,1853452810,2023-03-14,Otra,Habitación,pendiente
5875772,1781813413,2023-01-05,Estudiante,Habitación,pendiente
7956003,1426871172,2023-02-18,Docente,Apartamento completo,pendiente
7962167,1141681153,2023-01-25,Estudiante,Habitación,pendiente
7940424,1077296499,2022-11-12,Colaborador,Apartamento completo,pendiente
7637973,1817537027,2023-02-11,Otra,Habitación,pendiente
7173724,1951782325,2023-01-05,Docente,Habitación,pendiente
